,Price,address,Local_area,zipcode,beds,baths,sqft,url,latitude,longitude
0,229900,11444 N 28th Dr APT 14,Phoenix,85029,2.0,3.0,1498.0,https://www.zillow.com/homedetails/11444-N-28th-Dr-APT-14-Phoenix-AZ-85029/7750068_zpid/,33.5961,-112.1199
1,294900,107 W Camino Rancho Lucido,Sahuarita,85629,4.0,3.0,1951.0,https://www.zillow.com/homedetails/107-W-Camino-Rancho-Lucido-Sahuarita-AZ-85629/59833790_zpid/,31.9452,-111.0002
2,683100,3320 E Briarwood Ter,Phoenix,85048,4.0,4.0,3110.0,https://www.zillow.com/homedetails/3320-E-Briarwood-Ter-Phoenix-AZ-85048/67759175_zpid/,33.316,-112.0669
3,260000,2401 N 70th St APT H,Scottsdale,85257,2.0,1.0,759.0,https://www.zillow.com/homedetails/2401-N-70th-St-APT-H-Scottsdale-AZ-85257/7569063_zpid/,33.4669,-111.9151
4,290900,3781 E Sierrita Rd,San Tan Valley,85143,2.0,2.0,1052.0,https://www.zillow.com/homedetails/3781-E-Sierrita-Rd-San-Tan-Valley-AZ-85143/67435958_zpid/,33.1911,-111.528
5,377900,1120 S 225th Ln,Buckeye,85326,5.0,3.0,2267.0,https://www.zillow.com/homedetails/1120-S-225th-Ln-Buckeye-AZ-85326/68960941_zpid/,33.3703,-112.5838
6,344900,43994 W Cypress Ln,Maricopa,85138,3.0,3.0,2200.0,https://www.zillow.com/homedetails/43994-W-Cypress-Ln-Maricopa-AZ-85138/67438054_zpid/,33.0073,-111.9324
7,269100,1805 N 84th Ave,Phoenix,85037,2.0,1.0,911.0,https://www.zillow.com/homedetails/1805-N-84th-Ave-Phoenix-AZ-85037/7487970_zpid/,33.4913,-112.2468
8,700900,4245 E Palo Verde St,Gilbert,85296,3.0,3.0,2661.0,https://www.zillow.com/homedetails/4245-E-Palo-Verde-St-Gilbert-AZ-85296/125121054_zpid/,33.3354,-111.7406
9,647900,4645 E Runaway Bay Dr,Chandler,85249,3.0,2.0,2309.0,https://www.zillow.com/homedetails/4645-E-Runaway-Bay-Dr-Chandler-AZ-85249/57688702_zpid/,33.2414,-111.7745
10,534900,2042 E Saltsage Dr,Phoenix,85048,3.0,3.0,1755.0,https://www.zillow.com/homedetails/2042-E-Saltsage-Dr-Phoenix-AZ-85048/8257212_zpid/,33.316,-112.0669
11,493200,25722 N 122nd Ave,Peoria,85383,3.0,3.0,2431.0,https://www.zillow.com/homedetails/25722-N-122nd-Ave-Peoria-AZ-85383/95145554_zpid/,33.7169,-112.238
12,483900,12999 N 93rd Dr,Peoria,85381,3.0,2.0,1516.0,https://www.zillow.com/homedetails/12999-N-93rd-Dr-Peoria-AZ-85381/95091427_zpid/,33.6048,-112.2237
13,428900,14159 W Columbus Ave,Goodyear,85395,4.0,3.0,2111.0,https://www.zillow.com/homedetails/14159-W-Columbus-Ave-Goodyear-AZ-85395/50204611_zpid/,33.479,-112.3947
14,444900,6219 W Navajo Dr,Glendale,85302,4.0,3.0,2183.0,https://www.zillow.com/homedetails/6219-W-Navajo-Dr-Glendale-AZ-85302/7704208_zpid/,33.5675,-112.1753
15,229900,6957 E Calle Orion,Tucson,85710,3.0,1.0,1434.0,https://www.zillow.com/homedetails/6957-E-Calle-Orion-Tucson-AZ-85710/8544282_zpid/,32.2138,-110.824
16,546800,8960 E Shangri La Rd,Scottsdale,85260,3.0,3.0,2172.0,https://www.zillow.com/homedetails/8960-E-Shangri-La-Rd-Scottsdale-AZ-85260/8064235_zpid/,33.6013,-111.8867
17,496900,10259 W Townley Ave,Peoria,85345,4.0,3.0,2731.0,https://www.zillow.com/homedetails/10259-W-Townley-Ave-Peoria-AZ-85345/240309966_zpid/,33.5761,-112.2344
18,356100,14223 W Yosemite Dr,Sun City West,85375,2.0,2.0,1391.0,https://www.zillow.com/homedetails/14223-W-Yosemite-Dr-Sun-City-West-AZ-85375/8114236_zpid/,33.6856,-112.3659
19,460300,1685 E Deer Shadow Ln,Tucson,85737,3.0,3.0,2220.0,https://www.zillow.com/homedetails/1685-E-Deer-Shadow-Ln-Tucson-AZ-85737/8608459_zpid/,32.4142,-110.9466
20,456900,658 S 223rd Ln,Buckeye,85326,4.0,3.0,2267.0,https://www.zillow.com/homedetails/658-S-223rd-Ln-Buckeye-AZ-85326/67787107_zpid/,33.3703,-112.5838
21,1149000,28835 N 64th St,Cave Creek,85331,3.0,3.0,3446.0,https://www.zillow.com/homedetails/28835-N-64th-St-Cave-Creek-AZ-85331/82801096_zpid/,33.8851,-111.9349
22,304900,4852 E Euclid Ave UNIT 2,Phoenix,85044,2.0,2.0,1015.0,https://www.zillow.com/homedetails/4852-E-Euclid-Ave-UNIT-2-Phoenix-AZ-85044/8139386_zpid/,33.3291,-111.9943
23,559900,11076 N Divot Dr,Tucson,85737,3.0,2.0,2450.0,https://www.zillow.com/homedetails/11076-N-Divot-Dr-Tucson-AZ-85737/8625958_zpid/,32.4142,-110.9466
24,375000,6928 E Madero Ave,Mesa,85209,3.0,2.0,1459.0,https://www.zillow.com/homedetails/6928-E-Madero-Ave-Mesa-AZ-85209/8273958_zpid/,33.3782,-111.6406
25,221000,27500 N Cochie Canyon Trl,Marana,85658,2.0,3.0,3005.0,https://www.zillow.com/homedetails/27500-N-Cochie-Canyon-Trl-Marana-AZ-85658/2103674073_zpid/,32.4305,-111.1459
26,175000,2615 W Highland Ave,Phoenix,85017,2.0,2.0,1088.0,https://www.zillow.com/homedetails/2615-W-Highland-Ave-Phoenix-AZ-85017/7765946_zpid/,33.5153,-112.1212
27,410000,1495 S Winslow Way,Cornville,86325,4.0,3.0,2178.0,https://www.zillow.com/homedetails/1495-S-Winslow-Way-Cornville-AZ-86325/8780459_zpid/,34.7256,-111.9086
28,549000,906 McCulloch Blvd S,Lake Havasu City,86406,4.0,3.0,1860.0,https://www.zillow.com/homedetails/906-McCulloch-Blvd-S-Lake-Havasu-City-AZ-86406/295480138_zpid/,34.4228,-114.125
29,210000,1295 S Kelson Pl,Safford,85546,3.0,2.0,1318.0,https://www.zillow.com/homedetails/1295-S-Kelson-Pl-Safford-AZ-85546/247910306_zpid/,32.8295,-109.6266
30,389900,4225 E Brookwood Ct,Phoenix,85048,3.0,2.0,1352.0,https://www.zillow.com/homedetails/4225-E-Brookwood-Ct-Phoenix-AZ-85048/8259599_zpid/,33.316,-112.0669
31,379000,3259 Thunderbird Dr,Lake Havasu City,86406,3.0,2.0,1453.0,https://www.zillow.com/homedetails/3259-Thunderbird-Dr-Lake-Havasu-City-AZ-86406/104028182_zpid/,34.4228,-114.125
32,725000,5536 Lemonmint Ln,Prescott,86305,3.0,2.0,2561.0,https://www.zillow.com/homedetails/5536-Lemonmint-Ln-Prescott-AZ-86305/64962427_zpid/,34.8185,-112.9584
33,414900,11640 N Tatum Blvd UNIT 1010,Phoenix,85028,2.0,2.0,1147.0,https://www.zillow.com/homedetails/11640-N-Tatum-Blvd-UNIT-1010-Phoenix-AZ-85028/82821100_zpid/,33.5851,-112.0087
34,268900,5125 S Missiondale Rd,Tucson,85706,2.0,1.0,1015.0,https://www.zillow.com/homedetails/5125-S-Missiondale-Rd-Tucson-AZ-85706/8560304_zpid/,32.1392,-110.9451
35,392000,7724 W Oraibi Dr,Glendale,85308,3.0,3.0,1422.0,https://www.zillow.com/homedetails/7724-W-Oraibi-Dr-Glendale-AZ-85308/7891700_zpid/,33.6539,-112.1694
36,665000,361 E Hopkins Rd,Gilbert,85295,4.0,3.0,2407.0,https://www.zillow.com/homedetails/361-E-Hopkins-Rd-Gilbert-AZ-85295/52433717_zpid/,33.3054,-111.7408
37,325000,86 E Zinnia Pl,San Tan Valley,85143,3.0,2.0,1402.0,https://www.zillow.com/homedetails/86-E-Zinnia-Pl-San-Tan-Valley-AZ-85143/60140879_zpid/,33.1911,-111.528
38,189000,2733 S Player Ave,Sierra Vista,85650,3.0,2.0,1627.0,https://www.zillow.com/homedetails/2733-S-Player-Ave-Sierra-Vista-AZ-85650/2069536856_zpid/,31.4892,-110.2153
39,425000,2820 E Carla Vista Dr,Chandler,85225,3.0,2.0,1623.0,https://www.zillow.com/homedetails/2820-E-Carla-Vista-Dr-Chandler-AZ-85225/8284277_zpid/,33.3105,-111.8239
40,385000,6105 Winchester Dr,Prescott Valley,86314,3.0,2.0,1461.0,https://www.zillow.com/homedetails/6105-Winchester-Dr-Prescott-Valley-AZ-86314/8732424_zpid/,34.6019,-112.3264
41,240000,2109 W Rose Garden Ln,Phoenix,85027,3.0,2.0,1092.0,https://www.zillow.com/homedetails/2109-W-Rose-Garden-Ln-Phoenix-AZ-85027/7970917_zpid/,33.6819,-112.0996
42,700000,1810 E Willetta St,Phoenix,85006,3.0,3.0,2076.0,https://www.zillow.com/homedetails/1810-E-Willetta-St-Phoenix-AZ-85006/7528786_zpid/,33.465,-112.0474
43,384900,10101 N Arabian Trl UNIT 2043,Scottsdale,85258,2.0,2.0,1076.0,https://www.zillow.com/homedetails/10101-N-Arabian-Trl-UNIT-2043-Scottsdale-AZ-85258/50180614_zpid/,33.5647,-111.8931
44,390900,936 W Summit Pl,Chandler,85225,2.0,2.0,1170.0,https://www.zillow.com/homedetails/936-W-Summit-Pl-Chandler-AZ-85225/8200144_zpid/,33.3105,-111.8239
45,575000,19344 W Oregon Ave,Litchfield Park,85340,4.0,3.0,2985.0,https://www.zillow.com/homedetails/19344-W-Oregon-Ave-Litchfield-Park-AZ-85340/95080258_zpid/,33.5098,-112.4135
46,1399000,25008 S 195th St,Queen Creek,85142,5.0,4.0,3855.0,https://www.zillow.com/homedetails/25008-S-195th-St-Queen-Creek-AZ-85142/95137492_zpid/,33.2487,-111.6343
